1,Insignia 50in Class LED 2160p Smart 4K UHD TV with HDR,18,249.99
2,Sharp 40in LED 1080p Smart HDTV Roku TV,7,159.99
3,Westinghouse 49in Class LED 1080p HDTV,25,199.99
4,LG 70in Class LED UK6190 Series 2160p Smart 4K UHD TV with HDR,24,749.99
5,Insignia 43in Class LED 2160p Smart 4K UHD TV with HDR Fire TV Edition,21,229.99
6,LG 50in Class LED UK6090PUA Series 2160p Smart 4k UHD TV with HDR,18,329.99
7,Insignia 32in Class LED 720p HDTV,9,99.99
8,Insignia 32 Class LED 720p Smart HDTV Fire TV Edition,2,169.99
9,Insignia 43in Class LED 1080p HDTV,23,149.99
10,VIZIO 32in Class LED D-Series 1080p Smart HDTV,41,169.99
11,Sharp 24in Class LED 720p Smart HDTV Roku TV,45,169.99
12,LG 28in Class LED 720p HDTV,25,99.99
13,Insignia 39in LED 1080p Smart HDTV Fire TV Edition,15,229.99
14,Insignia 55in Class LED 1080p HDTV,25,279.99
15,Toshiba 43in Class LED 2160p Smart 4K UH TV with HDR Fire TV Edition,40,229.99
16,Insignia 19in Class LED 720p HDTV,27,69.99
17,Samsung 65in Class LED NU8000 Series 2160p Smart 4K UHD TV with HDR,15,899.99
18,Samsung 50in Class LED NU6900 Series 2160p Smart 4K UHD TV with HDR,13,369.99
19,VIZIO 24in Class LED Dseries 1080p Smart HDTV,32,179.99
20,VIZIO Soundbar System Wireless Subwoofer Amplifier Black,21,199.99
21,VIZIO Soundbar System Wireless Subwoofer Amplifier Silver,37,799.99
22,Bose Soundbar 700 Smart Speaker with Amazon Alexa Bose Black,40,249.99
23,Bose Bass Module 700 Wireless Subwoofer Black,7,699.99
24,Yamaha 725W Home Theater System Black,43,459.99
25,Bose SoundTouch 300 Soundbar Black,16,499.99
26,Bose Bass Module 500 Subwoofer Black,17,399.99
27,Onkyo 4K Home Theater System Black,46,299.99
28,Bose Soundbar 700 Smart Speaker with Amazon Alexa Bose White,46,799.99
29,Klipsch Reference Series Soundbar System,40,399.99
30,Bose Bass Module 700 Subwoofer Arctic White,34,699.99
31,Microsoft Surface Book 2 13.5in i5/8GB/256iGPU,34,1199
32,Lenovo Legion 530 15.6in i7/8GB/1050ti/1TB,7,929.99
33,Lenovo Legion 530 15.6in i7/16GB/1050ti/1TB,8,1029.99
34,ASUS 14in AMD A6 4GB/AMD Radeon R4/500GB,10,279.99
35,Apple MacBook Pro 15in i7/16GB/AMD Radeon Pro 560X/512GB SSD,43,2549.99
36,HP 15.6in AMD Ryzen 5/ 8GB/128GB SSD,33,529.99
37,HP 14in Chromebook Intel Celeron/ 4GB/ 32GB,44,209.99
38,HP 17.3in Laptop i5/8GB/1TB HD,46,499.99
39,ASUS 15.6in Laptop AMD A12 Series/ 8GB/ AMD Radeon R7/128GB SSD,8,399.99
40,Apple MacBook Pro 15in i7/16GB/AMD Radeon Pro 555X/256GB SSD,32,2199.99
41,Apple MacBook 12in Intel m3/8GB/256GB,39,1299.99
42,Apple MacBook Pro 13in i5/8GB/256GB SSD,46,1649.99
43,HP Spectre x360 i7/8GB/256GB SSD ,4,1199.99
44,Apple Macbook 12in i3/8GB/265GB Gold,45,1299.99
45,Apple Macbook 12in i3/8GB/265GB Grey,18,1299.99
46,Dell 11.6in Chromebook Intel Celeron 4GB/16GB,9,199
47,Microsoft Surface Pro 6 12.3in i5/8gb/128GB SSD Black,48,799
48,Samsung 11.6in Chromebook Intel Celeron 4GB/32GB,7,229
49,Alienware 17.3in Gaming Laptop i7/16GB/GTX 1070/1TB/256SSD,34,1424.99
50,Microsoft Surface Dock,38,199.99
51,Microsoft Surface Pro Signature Type Cover Platinum,33,121.99
52,Microsoft Surface Pro 6 12.3in i5/8gb/128SSD Platinum,33,799
53,Microsoft Surface Pro Typecover Black,10,129.99
54,Microsoft Surface Arc Mouse Black,15,64.99
55,Microsoft Wireless Comfort Desktop 5050 Curved Keyboard and Mouse Black,41,48.99
56,Microsoft Surface Pen Burgundy,30,74.99
57,Microsoft Surface Pen Black,27,74.99
58,Microsoft Surface Pen Platinum,9,74.99
59,Microsoft Surface Pen Cobalt,27,74.99
60,Microsoft Surface Pro Signature Type Cover Burgundy,43,121.99
61,Microsoft Surface Pro Signature Type Cover Cobalt,5,121.99
62,Microsoft Surface Go Signature Type Cover Burgundy,45,101.99
63,Microsoft Surface Go Signature Type Cover Cobalt,5,101.99
64,Microsoft Surface Go Signature Type Cover Platinum,49,101.99
65,Microsoft Surface Go Signature Type Cover Black,30,101.99
66,Microsoft Surface Go 10in Intel Pentium Gold 4GB/64GB,4,399
